"multiplicity","raw_columns","mtry_poisson_mean","expected_candidate_count","cloned_family_opportunity","ordinary_family_opportunity"
1,16,16,14.412519606580682,0.90078247541129253,0.90078247541129253
2,17,16,14.846557183570809,0.96670810600355717,0.87332689315122369
4,19,16,15.444864408434603,0.99310513998362460,0.81288760044392672
8,23,16,15.911915401214387,0.99909151468706925,0.69182240874845113
16,31,16,15.999486112441494,0.99990640407908693,0.51611245524004867
32,47,16,16.000000112411371,0.99998937433638946,0.34042553430662309
64,79,16,16.000000112535169,0.99999822954910789,0.20253164699411857
128,143,16,16.000000112535169,0.99999954419372039,0.11188811267507255
