file,original,transformed,n,n_observed,unique_original,unique_transformed,same_missingness,increasing_weak_order,decreasing_weak_order,median_scale,max_relative_scaling_error
GE_HH-Analysis_AllHHs.dta,health_medexpend_wins,health_medexpend_wins_PPP,8239,8227,224,224,True,True,False,0.021510002136230468,4.172829936482852e-08
GE_HH-Analysis_AllHHs.dta,landprice_BL,landprice_PPP_BL,8239,8239,137,137,True,True,False,0.021510001953125,1.2106770871419216e-08
GE_HH-Analysis_AllHHs.dta,landprice_wins_BL,landprice_wins_PPP_BL,8239,8239,123,123,True,True,False,0.021510001953125,2.7240234608675913e-08
GE_HH-Analysis_AllHHs.dta,multiplier_assets,multiplier_assets_PPP,8239,8232,2224,2224,True,True,False,0.021510002193024968,9.594894796075483e-09
GE_HH-Analysis_AllHHs.dta,multiplier_assets_wins,multiplier_assets_wins_PPP,8239,8232,2145,2145,True,True,False,0.021510002199283316,3.715097281306311e-08
GE_HH-Analysis_AllHHs.dta,nettransfersHHvill_f4,nettransfersHHvill_f4_PPP,8239,8118,486,486,True,True,False,0.021510002136230468,2.8375243757531498e-08
GE_HH-Analysis_AllHHs.dta,nettransfersHHvill_f4_wins,nettransfersHHvill_f4_wins_PPP,8239,8118,440,440,True,True,False,0.021510002136230468,3.142827690071933e-08
GE_HH-Analysis_AllHHs.dta,nettransfersHHvill_f4_wins2,nettransfersHHvill_f4_wins2_PPP,8239,8118,391,391,True,True,False,0.021510002136230468,3.546905520013592e-08
GE_HH-Analysis_AllHHs.dta,nettransfersfamily_f4,nettransfersfamily_f4_PPP,8239,8106,1154,1154,True,True,False,0.021510002136230468,3.669212741541829e-08
GE_HH-Analysis_AllHHs.dta,nettransfersfamily_f4_wins,nettransfersfamily_f4_wins_PPP,8239,8106,1094,1094,True,True,False,0.021510002136230468,1.3989113436721272e-08
GE_HH-Analysis_AllHHs.dta,nettransfersfamily_f4_wins2,nettransfersfamily_f4_wins2_PPP,8239,8106,1039,1039,True,True,False,0.021510002136230468,3.147878646369412e-08
GE_HH-Analysis_AllHHs.dta,nondurables_exp,nondurables_exp_PPP,8239,8226,7016,7015,True,False,False,0.021510002152780133,5.476465683070726e-08
