"replication","dimension","method","metric","value"
18,40,"ordinary_x2_minus_ordinary_x1","value_gain",0.011171887899296
18,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.100466666666666
19,40,"ordinary_x2_minus_ordinary_x1","mae",-0.013449231058029
19,40,"ordinary_x2_minus_ordinary_x1","mean_error",0.0056585522705725
19,40,"ordinary_x2_minus_ordinary_x1","mse",-0.0069688165795742
19,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
19,40,"ordinary_x2_minus_ordinary_x1","regret",-0.000707451910194931
19,40,"ordinary_x2_minus_ordinary_x1","treatment_share",0.0081
19,40,"ordinary_x2_minus_ordinary_x1","value_gain",0.000707451910195
19,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.00789999999999997
2,40,"ordinary_x2_minus_ordinary_x1","mae",-0.039901435133277
2,40,"ordinary_x2_minus_ordinary_x1","mean_error",-0.000301907738952171
2,40,"ordinary_x2_minus_ordinary_x1","mse",-0.0121285804071822
2,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
2,40,"ordinary_x2_minus_ordinary_x1","regret",-0.00674469035383077
2,40,"ordinary_x2_minus_ordinary_x1","treatment_share",0.0708
2,40,"ordinary_x2_minus_ordinary_x1","value_gain",0.00674469035383096
2,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.0706
20,40,"ordinary_x2_minus_ordinary_x1","mae",0.022617574962086
20,40,"ordinary_x2_minus_ordinary_x1","mean_error",-0.0012263900928534
20,40,"ordinary_x2_minus_ordinary_x1","mse",0.008894141608415
20,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
20,40,"ordinary_x2_minus_ordinary_x1","regret",0.00557060183973743
20,40,"ordinary_x2_minus_ordinary_x1","treatment_share",-0.0163
20,40,"ordinary_x2_minus_ordinary_x1","value_gain",-0.00557060183973801
20,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",0.0162333333333333
21,40,"ordinary_x2_minus_ordinary_x1","mae",-0.031508444212587
21,40,"ordinary_x2_minus_ordinary_x1","mean_error",0.0019219511964284
21,40,"ordinary_x2_minus_ordinary_x1","mse",-0.0102456183734856
21,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
21,40,"ordinary_x2_minus_ordinary_x1","regret",-0.0150795672480366
21,40,"ordinary_x2_minus_ordinary_x1","treatment_share",0.1586
21,40,"ordinary_x2_minus_ordinary_x1","value_gain",0.015079567248037
21,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.158466666666667
22,40,"ordinary_x2_minus_ordinary_x1","mae",-0.043242401757141
22,40,"ordinary_x2_minus_ordinary_x1","mean_error",-0.0003047454280493
22,40,"ordinary_x2_minus_ordinary_x1","mse",-0.0177453020828249
22,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
22,40,"ordinary_x2_minus_ordinary_x1","regret",-0.0165756767461395
22,40,"ordinary_x2_minus_ordinary_x1","treatment_share",0.1624
22,40,"ordinary_x2_minus_ordinary_x1","value_gain",0.01657567674614
22,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.162466666666667
23,40,"ordinary_x2_minus_ordinary_x1","mae",-0.015689968319533
23,40,"ordinary_x2_minus_ordinary_x1","mean_error",0.0050263857105577
23,40,"ordinary_x2_minus_ordinary_x1","mse",-0.0053015614264973
23,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
23,40,"ordinary_x2_minus_ordinary_x1","regret",0.00050648795860661
23,40,"ordinary_x2_minus_ordinary_x1","treatment_share",0.00670000000000004
23,40,"ordinary_x2_minus_ordinary_x1","value_gain",-0.000506487958606028
23,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.0067
24,40,"ordinary_x2_minus_ordinary_x1","mae",-0.0488383355069594
24,40,"ordinary_x2_minus_ordinary_x1","mean_error",0.00288820449483153
24,40,"ordinary_x2_minus_ordinary_x1","mse",-0.012671338961871
24,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
24,40,"ordinary_x2_minus_ordinary_x1","regret",-0.0113334676686736
24,40,"ordinary_x2_minus_ordinary_x1","treatment_share",0.117366666666666
24,40,"ordinary_x2_minus_ordinary_x1","value_gain",0.011333467668673
24,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.117366666666666
25,40,"ordinary_x2_minus_ordinary_x1","mae",0.003722720055817
25,40,"ordinary_x2_minus_ordinary_x1","mean_error",-0.0011867260155299
25,40,"ordinary_x2_minus_ordinary_x1","mse",-0.0035784446027202
25,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
25,40,"ordinary_x2_minus_ordinary_x1","regret",-0.00098853845222543
25,40,"ordinary_x2_minus_ordinary_x1","treatment_share",0.011666666666667
25,40,"ordinary_x2_minus_ordinary_x1","value_gain",0.000988538452226018
25,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.0116666666666667
26,40,"ordinary_x2_minus_ordinary_x1","mae",-0.037537459258145
26,40,"ordinary_x2_minus_ordinary_x1","mean_error",0.00167751045632999
26,40,"ordinary_x2_minus_ordinary_x1","mse",-0.0120731931895101
26,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
26,40,"ordinary_x2_minus_ordinary_x1","regret",-0.0203186999577811
26,40,"ordinary_x2_minus_ordinary_x1","treatment_share",0.209133333333333
26,40,"ordinary_x2_minus_ordinary_x1","value_gain",0.02031869995778
26,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.209066666666666
27,40,"ordinary_x2_minus_ordinary_x1","mae",-0.020264731951149
27,40,"ordinary_x2_minus_ordinary_x1","mean_error",-0.0024627657474291
