replication,dimension,subgroup,true_mean,x1_mean,x2_mean,sign_reversal,strong_sign_reversal
1,40,x1_high__x2_high,0.299743938498122,0.372351185072197,0.257684117454658,0,0
1,40,x1_high__x2_low,1.39985044370295,1.32226235405099,1.34040925122903,0,0
1,40,x1_low__x2_high,-1.00035881202017,-0.796372662392439,-0.81234523941125,0,0
1,40,x1_low__x2_low,0.0997265198701126,-0.0505228851973894,0.0613689111951504,1,0
1,100,x1_high__x2_high,0.299743938498122,0.499678156464957,0.142000111708362,0,0
1,100,x1_high__x2_low,1.39985044370295,1.19482787608253,1.19763692531092,0,0
1,100,x1_low__x2_high,-1.00035881202017,-0.669548480609161,-0.697523767617717,0,0
1,100,x1_low__x2_low,0.0997265198701126,-0.164062721889292,0.196146383851402,1,1
1,250,x1_high__x2_high,0.299743938498122,0.621895725072767,0.000399384987171978,0,0
1,250,x1_high__x2_low,1.39985044370295,1.03946758145489,0.994244126071799,0,0
1,250,x1_low__x2_high,-1.00035881202017,-0.560341469641416,-0.524641496251296,0,0
1,250,x1_low__x2_low,0.0997265198701126,-0.235293381883079,0.355549822258831,1,1
1,500,x1_high__x2_high,0.299743938498122,0.658474653874154,-0.062733629428825,1,0
1,500,x1_high__x2_low,1.39985044370295,0.942640457887281,0.847857397628121,0,0
1,500,x1_low__x2_high,-1.00035881202017,-0.468509850015425,-0.398892232016136,0,0
1,500,x1_low__x2_low,0.0997265198701126,-0.254593365747096,0.44027503719273,1,1
2,40,x1_high__x2_high,0.299932464554166,0.451223263977474,0.333438102736891,0,0
2,40,x1_high__x2_low,1.39966234170116,1.12032641657615,1.14249609198694,0,0
2,40,x1_low__x2_high,-1.00017384761547,-0.782416360088531,-0.819426791429834,0,0
2,40,x1_low__x2_low,0.0998418833950931,0.0137739830856905,0.142856731173149,0,0
2,100,x1_high__x2_high,0.299932464554166,0.547465255535042,0.205810265784792,0,0
2,100,x1_high__x2_low,1.39966234170116,1.02693229703935,1.02743281081498,0,0
2,100,x1_low__x2_high,-1.00017384761547,-0.672180203780801,-0.697292873632642,0,0
2,100,x1_low__x2_low,0.0998418833950931,-0.103701594728408,0.261233646081983,1,1
2,250,x1_high__x2_high,0.299932464554166,0.639123190725246,0.0465347905474215,0,0
2,250,x1_high__x2_low,1.39966234170116,0.913537464416061,0.879096281029046,0,0
2,250,x1_low__x2_high,-1.00017384761547,-0.550791770775102,-0.524947922115551,0,0
2,250,x1_low__x2_low,0.0998418833950931,-0.208647211034828,0.388542152007318,1,1
2,500,x1_high__x2_high,0.299932464554166,0.637716125894286,-0.0216762020005167,1,0
2,500,x1_high__x2_low,1.39966234170116,0.834105510064483,0.759944212658354,0,0
2,500,x1_low__x2_high,-1.00017384761547,-0.468885813386767,-0.397647418049147,0,0
2,500,x1_low__x2_low,0.0998418833950931,-0.221962349049223,0.452684380685432,1,1
3,40,x1_high__x2_high,0.299855728631964,0.436512780007708,0.320757934351022,0,0
3,40,x1_high__x2_low,1.39986443460977,1.24869788086082,1.27281679979343,0,0
3,40,x1_low__x2_high,-0.999645877635759,-0.839725752396205,-0.864049930278377,0,0
3,40,x1_low__x2_low,0.100053459013946,0.0818816530549243,0.201868555330721,0,0
3,100,x1_high__x2_high,0.299855728631964,0.542994583359051,0.171408716935132,0,0
3,100,x1_high__x2_low,1.39986443460977,1.14285661135149,1.15575712435381,0,0
3,100,x1_low__x2_high,-0.999645877635759,-0.726159208822089,-0.738301244784062,0,0
3,100,x1_low__x2_low,0.100053459013946,-0.0365951165801406,0.33328820855331,1,0
3,250,x1_high__x2_high,0.299855728631964,0.653396393792354,0.0259036497199406,0,0
3,250,x1_high__x2_low,1.39986443460977,1.00591336330891,0.991998837717008,0,0
3,250,x1_low__x2_high,-0.999645877635759,-0.575260766790797,-0.55329949320244,0,0
3,250,x1_low__x2_low,0.100053459013946,-0.157149486728828,0.465528151613863,1,1
3,500,x1_high__x2_high,0.299855728631964,0.669960040465123,-0.0462714010787885,1,0
3,500,x1_high__x2_low,1.39986443460977,0.917335147489882,0.867676870831799,0,0
3,500,x1_low__x2_high,-0.999645877635759,-0.463552604541362,-0.422578391811261,0,0
3,500,x1_low__x2_low,0.100053459013946,-0.189762881999622,0.533879554689465,1,1
4,40,x1_high__x2_high,0.300494624063908,0.373879607777932,0.251503396612068,0,0
4,40,x1_high__x2_low,1.39999799205756,1.27725246635949,1.29344255885786,0,0
4,40,x1_low__x2_high,-0.999730298479747,-0.857245302226764,-0.864090157852246,0,0
4,40,x1_low__x2_low,0.100238167928982,0.0918362213374671,0.20281177687213,0,0
4,100,x1_high__x2_high,0.300494624063908,0.492175406233659,0.122578048143265,0,0
4,100,x1_high__x2_low,1.39999799205756,1.17058053702524,1.16137677664058,0,0
4,100,x1_low__x2_high,-0.999730298479747,-0.72764192636438,-0.73458139174602,0,0
4,100,x1_low__x2_low,0.100238167928982,-0.0447983768331894,0.340753987940073,1,0
4,250,x1_high__x2_high,0.300494624063908,0.631706160127224,-0.0219596646977117,1,0
4,250,x1_high__x2_low,1.39999799205756,1.02328303888055,1.00841179076432,0,0
4,250,x1_low__x2_high,-0.999730298479747,-0.584065672991689,-0.567794077065994,0,0
4,250,x1_low__x2_low,0.100238167928982,-0.157074635322847,0.491268523136201,1,1
4,500,x1_high__x2_high,0.300494624063908,0.651576573164896,-0.0766079418956438,1,0
4,500,x1_high__x2_low,1.39999799205756,0.935729521392957,0.883965101213322,0,0
4,500,x1_low__x2_high,-0.999730298479747,-0.484644430381866,-0.446133170829025,0,0
4,500,x1_low__x2_low,0.100238167928982,-0.181072936059122,0.552966900238592,1,1
5,40,x1_high__x2_high,0.299437070110909,0.373713217665012,0.264062818834671,0,0
5,40,x1_high__x2_low,1.39999106801535,1.28752356351728,1.32111311835662,0,0
5,40,x1_low__x2_high,-1.00031964177484,-0.855294341284243,-0.88472496512752,0,0
5,40,x1_low__x2_low,0.10035143938434,-0.0743437838297867,0.0382024567939093,1,0
5,100,x1_high__x2_high,0.299437070110909,0.494263462218029,0.144965484151358,0,0
5,100,x1_high__x2_low,1.39999106801535,1.16543181789123,1.19579275035706,0,0
5,100,x1_low__x2_high,-1.00031964177484,-0.735621702956039,-0.765452681533378,0,0
5,100,x1_low__x2_low,0.10035143938434,-0.191301085135758,0.166092701173991,1,1
5,250,x1_high__x2_high,0.299437070110909,0.608970583609745,-0.0112608212109077,1,0
5,250,x1_high__x2_low,1.39999106801535,1.02013821494359,1.00198265597484,0,0
5,250,x1_low__x2_high,-1.00031964177484,-0.612527728315673,-0.580140739282836,0,0
5,250,x1_low__x2_low,0.10035143938434,-0.291036845586599,0.335656421886996,1,1
5,500,x1_high__x2_high,0.299437070110909,0.653763207597922,-0.0725964448851196,1,0
5,500,x1_high__x2_low,1.39999106801535,0.916583832864133,0.855808909245404,0,0
5,500,x1_low__x2_high,-1.00031964177484,-0.532091597714908,-0.450132684650619,0,0
5,500,x1_low__x2_low,0.10035143938434,-0.307606767624144,0.418669025108434,1,1
6,40,x1_high__x2_high,0.300110923569681,0.36658181920574,0.232652984143306,0,0
6,40,x1_high__x2_low,1.39940947042041,1.23497940998884,1.27741685029442,0,0
6,40,x1_low__x2_high,-1.00038872065246,-0.965085700716565,-0.981310911804507,0,0
6,40,x1_low__x2_low,0.10025846399638,-0.0289998446197005,0.0765369886739626,1,0
6,100,x1_high__x2_high,0.300110923569681,0.479253990278249,0.083259198330912,0,0
6,100,x1_high__x2_low,1.39940947042041,1.12163528805307,1.15999113770329,0,0
6,100,x1_low__x2_high,-1.00038872065246,-0.832532027003526,-0.856492394726938,0,0
6,100,x1_low__x2_low,0.10025846399638,-0.161652161475891,0.203844486844915,1,1
6,250,x1_high__x2_high,0.300110923569681,0.593853315817293,-0.0689434335158409,1,0
6,250,x1_high__x2_low,1.39940947042041,0.985805653943175,0.98083234207459,0,0
6,250,x1_low__x2_high,-1.00038872065246,-0.686902826650105,-0.678759358630371,0,0
6,250,x1_low__x2_low,0.10025846399638,-0.280298334921271,0.348905088330032,1,1
6,500,x1_high__x2_high,0.300110923569681,0.626919507743633,-0.144868320531908,1,1
6,500,x1_high__x2_low,1.39940947042041,0.887878457393889,0.82855706921329,0,0
6,500,x1_low__x2_high,-1.00038872065246,-0.594218673460062,-0.539878365596591,0,0
6,500,x1_low__x2_low,0.10025846399638,-0.311891898121965,0.433419815968511,1,1
7,40,x1_high__x2_high,0.299978758791282,0.344495986016648,0.22544412963002,0,0
7,40,x1_high__x2_low,1.40027962253213,1.11046990718569,1.13304303520147,0,0
7,40,x1_low__x2_high,-1.00006074571005,-0.810333455318963,-0.824313674026725,0,0
