"replication","cell_id","panel","multiplicity","trees","mtry_rule","actual_mtry","n_train","noise_sd","method","subgroup","true_mean","x1_mean","x2_mean","sign_reversal","strong_sign_reversal"
1,"cell_09","larger_sample",8,2000,"fixed_6",6,10000,1,"ordinary","x1_low__x2_high",-0.999670964259824,-0.739787182131877,-0.743851375648945,0,0
1,"cell_09","larger_sample",8,2000,"fixed_6",6,10000,1,"ordinary","x1_low__x2_low",0.0999733935700352,-0.11384598752794,0.396401863439874,1,1
1,"cell_10","noise_robustness",8,2000,"fixed_6",6,3000,0.5,"ordinary","x1_high__x2_high",0.299884183295092,0.53971341945914,-0.0365267829397943,1,0
1,"cell_10","noise_robustness",8,2000,"fixed_6",6,3000,0.5,"ordinary","x1_high__x2_low",1.3996371137781,1.10538640991746,1.10227812135536,0,0
1,"cell_10","noise_robustness",8,2000,"fixed_6",6,3000,0.5,"ordinary","x1_low__x2_high",-0.999670964259824,-0.700074247332515,-0.707045062192194,0,0
1,"cell_10","noise_robustness",8,2000,"fixed_6",6,3000,0.5,"ordinary","x1_low__x2_low",0.0999733935700352,-0.15405993768981,0.420855463105033,1,1
1,"cell_11","noise_robustness",8,2000,"fixed_6",6,3000,2,"ordinary","x1_high__x2_high",0.299884183295092,0.448398500912033,-0.252369269087112,1,1
1,"cell_11","noise_robustness",8,2000,"fixed_6",6,3000,2,"ordinary","x1_high__x2_low",1.3996371137781,0.849884262771982,0.887039198557088,0,0
1,"cell_11","noise_robustness",8,2000,"fixed_6",6,3000,2,"ordinary","x1_low__x2_high",-0.999670964259824,-0.461139756484419,-0.514783995796643,0,0
1,"cell_11","noise_robustness",8,2000,"fixed_6",6,3000,2,"ordinary","x1_low__x2_low",0.0999733935700352,-0.105427070798468,0.57711445875279,1,1
1,"cell_12","invariant_check",16,2000,"fixed_6",6,3000,1,"class_sampled","x1_high__x2_high",0.299884183295092,0.201000739366158,0.201000739366158,0,0
1,"cell_12","invariant_check",16,2000,"fixed_6",6,3000,1,"class_sampled","x1_high__x2_low",1.3996371137781,0.835905956224992,0.835905956224992,0,0
1,"cell_12","invariant_check",16,2000,"fixed_6",6,3000,1,"class_sampled","x1_low__x2_high",-0.999670964259824,-0.436742187139755,-0.436742187139755,0,0
1,"cell_12","invariant_check",16,2000,"fixed_6",6,3000,1,"class_sampled","x1_low__x2_low",0.0999733935700352,0.164587832671587,0.164587832671587,0,0
2,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_high",0.299999268493499,0.427476625807295,0.12847029774201,0,0
2,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_low",1.39963537702099,0.980498737729417,0.965020608527779,0,0
2,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_high",-0.999923893636031,-0.638732666549712,-0.627790190522466,0,0
2,"cell_01","dose_response",1,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_low",0.0999749276437528,-0.0570447800637366,0.234248635963305,1,0
2,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_high",0.299999268493499,0.510317595997429,0.0712919684084101,0,0
2,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_low",1.39963537702099,1.02953061224769,1.01021454977445,0,0
2,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_high",-0.999923893636031,-0.688641925878675,-0.676216448173385,0,0
2,"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_low",0.0999749276437528,-0.134130764737234,0.294477635889502,1,1
2,"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_high",0.299999268493499,0.57805932287673,0.001887955078573,0,0
2,"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_low",1.39963537702099,1.06606229232914,1.0527235243771,0,0
2,"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_high",-0.999923893636031,-0.727176425011884,-0.720849587679454,0,0
2,"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_low",0.0999749276437528,-0.207520003909267,0.360440849026043,1,1
2,"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_high",0.299999268493499,0.62330067473993,-0.0427895631480443,1,0
2,"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_low",1.39963537702099,1.08767313415873,1.06200417241234,0,0
2,"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_high",-0.999923893636031,-0.737002791955944,-0.735381406626497,0,0
2,"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_low",0.0999749276437528,-0.253111904412618,0.404194106328154,1,1
2,"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_high",0.299999268493499,0.664769061605858,-0.106003495914992,1,1
2,"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_low",1.39963537702099,1.06925087995256,1.04596804943747,0,0
2,"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_high",-0.999923893636031,-0.724864710558406,-0.703959516627212,0,0
2,"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_low",0.0999749276437528,-0.289348951843246,0.457512072050231,1,1
2,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","x1_high__x2_high",0.299999268493499,0.608667465552737,-0.0578128247358642,1,0
2,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","x1_high__x2_low",1.39963537702099,1.09347665969291,1.0416665773475,0,0
2,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","x1_low__x2_high",-0.999923893636031,-0.746728251664981,-0.72417969550357,0,0
2,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","x1_low__x2_low",0.0999749276437528,-0.252427503986711,0.406720101357487,1,1
2,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_high",0.299999268493499,0.625124131779971,-0.0537174947129168,1,0
2,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","x1_high__x2_low",1.39963537702099,1.08067175036428,1.05554729165718,0,0
2,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_high",-0.999923893636031,-0.739111562182379,-0.727621103756187,0,0
2,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","x1_low__x2_low",0.0999749276437528,-0.254570580399818,0.410536833173466,1,1
2,"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","x1_high__x2_high",0.299999268493499,0.386536885403312,0.259070132952712,0,0
2,"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","x1_high__x2_low",1.39963537702099,1.34385776233423,1.36784220069383,0,0
2,"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","x1_low__x2_high",-0.999923893636031,-1.02125908041097,-1.03966389678335,0,0
2,"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","x1_low__x2_low",0.0999749276437528,0.00722216518039706,0.125331271274655,0,0
2,"cell_09","larger_sample",8,2000,"fixed_6",6,10000,1,"ordinary","x1_high__x2_high",0.299999268493499,0.562997355187122,0.0764106213181824,0,0
2,"cell_09","larger_sample",8,2000,"fixed_6",6,10000,1,"ordinary","x1_high__x2_low",1.39963537702099,1.14070088642609,1.12193961253952,0,0
2,"cell_09","larger_sample",8,2000,"fixed_6",6,10000,1,"ordinary","x1_low__x2_high",-0.999923893636031,-0.780137634446792,-0.775014400151693,0,0
