"cell_id","panel","multiplicity","trees","mtry_rule","actual_mtry","n_train","noise_sd","method","metric","replications","mean","sd","se_mean","ci95_low","ci95_high"
"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","x1_wrong_sign_true_margin_025",20,0.00153999266538134,0.00104272049168632,0.000233159390094262,0.00105198445340288,0.0020280008773598
"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","x2_wrong_sign_true_margin_025",20,0.037411684932444,0.0674363913317435,0.0150792355175056,0.00585048227221664,0.0689728875926713
"cell_02","dose_response",2,2000,"fixed_6",6,3000,1,"ordinary","mean_absolute_prediction_change",20,0.215573641961434,0.00984420473109199,0.00220123109631467,0.210966412327536,0.220180871595333
"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","cate_correlation",20,0.820896521628395,0.0135891276790044,0.00303862132451778,0.814536614103941,0.827256429152848
"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","cate_rank_correlation",20,0.814426186380251,0.0304099346231718,0.00679986810087365,0.800193898878319,0.828658473882184
"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","sign_reversal",20,0.30057,0.0711735970987599,0.0159149001316009,0.267259731201053,0.333880268798947
"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","positive_to_negative",20,0.06413,0.0728099174691975,0.0162807924897275,0.0300539096941702,0.0982060903058298
"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","negative_to_positive",20,0.23644,0.00889749028284569,0.00198953931015868,0.232275846366647,0.240604153633353
"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","strong_reversal_010",20,0.209978333333333,0.0456980047103035,0.0102183844968344,0.188591008784266,0.231365657882401
"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","strong_reversal_025",20,0.0154666666666667,0.023563719759174,0.00526900791842681,0.00443850635053149,0.0264948269828018
"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_estimated_margin_010",20,0.265795390409678,0.0564055432010695,0.0126126628905392,0.239396783589636,0.29219399722972
"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_estimated_margin_025",20,0.0279558150059189,0.0393443034279581,0.00879765369922924,0.00954211419107789,0.04636951582076
"cell_03","dose_response",4,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_true_margin_010",20,0.20898555621535,0.0817393170691168,0.0182774669400954,0.170730378256077,0.247240734174622
