"scenario","method","metric","replications","mean","sd","se_mean","ci95_low","ci95_high","q025","median","q975"
"complements","dimension_adjusted_mtry","assignment_switching",20,0.0120033333333333,0.00484653249168748,0.00108371761065746,0.00973508630604136,0.0142715803606253,0.00577666666666667,0.0107,0.0213383333333333
"complements","dimension_adjusted_mtry","top_set_overlap",20,0.941985248043157,0.0226754931081411,0.00507039440131314,0.931372790595871,0.952597705490442,0.898717917000493,0.947893955268159,0.971530452731764
"complements","dimension_adjusted_mtry","policy_value",20,0.282519392663803,0.00345552493979707,0.000772678866333212,0.280902157210235,0.284136628117372,0.27630210922387,0.282739734245682,0.287496951931265
"complements","dimension_adjusted_mtry","policy_regret",20,0.00657970484794466,0.00343054590557076,0.00076709338447898,0.00497415994225267,0.00818524975363664,0.00176855189788055,0.00674309732228273,0.0129006584885547
"complements","dimension_adjusted_mtry","policy_value_difference",20,0.00281546746121699,0.00209428055065011,0.000468295367520933,0.00183531399242769,0.00379562093000628,0.000260130539538492,0.00221252647383571,0.00691698480066955
"complements","dimension_adjusted_mtry","regret_difference",20,-0.00281546746121699,0.00209428055065011,0.000468295367520933,-0.00379562093000628,-0.00183531399242769,-0.00691698480066955,-0.00221252647383571,-0.000260130539538492
"complements","class_sampled","cate_rmse",20,0.389606749322032,0.0218511721515237,0.00488607063188573,0.379380085957957,0.399833412686107,0.36152716581258,0.38592436618117,0.433810710631213
"complements","class_sampled","cate_correlation",20,0.83776637610108,0.0256783193515458,0.00574184676180048,0.825748552711905,0.849784199490255,0.804143201169188,0.843039223588761,0.869143255375077
"complements","class_sampled","cate_rank_correlation",20,0.665979296011425,0.0363819331367402,0.00813524756466032,0.648952027170024,0.683006564852826,0.606287588702864,0.663035842807151,0.729439674328155
"complements","class_sampled","representation_cate_correlation",20,1,1.0188105198175e-16,2.27812957850383e-17,1,1,1,1,1
"complements","class_sampled","representation_rank_correlation",20,1,0,0,1,1,1,1,1
"complements","class_sampled","assignment_switching",20,0,0,0,0,0,0,0,0
"complements","class_sampled","top_set_overlap",20,1,0,0,1,1,1,1,1
"complements","class_sampled","policy_value",20,0.279562492573061,0.00433267717670501,0.000968816069167428,0.277534737235996,0.281590247910126,0.272653748765621,0.279262810925247,0.285956295467184
"complements","class_sampled","policy_regret",20,0.00953660493868661,0.00438005515270223,0.000979410106664041,0.00748667602630817,0.0115865338510651,0.00328149103318214,0.0101706951403943,0.0165490189468038
"complements","class_sampled","policy_value_difference",20,0,0,0,0,0,0,0,0
